step,num_nodes,p_n,p_r,expected_mean_degree,mean_degree,assort
2000,100,0.1,0.001,1.2172949002217297,1.22,0.9151520161136988
2000,100,0.1,0.001,1.2172949002217297,1.36,0.7679262185209269
2000,100,0.1,0.001,1.2172949002217297,1.08,0.900953607387874
2000,100,0.1,0.001,1.2172949002217297,1.42,0.7619275630770437
2000,100,0.1,0.001,1.2172949002217297,1.2,0.9207084201817541
2000,100,0.1,0.001,1.2172949002217297,1.28,0.7435598803096066
2000,100,0.1,0.001,1.2172949002217297,1.06,0.8272192626172076
2000,100,0.1,0.001,1.2172949002217297,1.16,0.7492465334309983
2000,100,0.1,0.001,1.2172949002217297,1.36,0.8529863949825842
2000,100,0.1,0.001,1.2172949002217297,1.12,0.8048344514981273
2000,100,0.1,0.001,1.2172949002217297,1.32,0.8751533966536296
2000,100,0.1,0.001,1.2172949002217297,1.24,0.9147303652757056
2000,100,0.1,0.001,1.2172949002217297,1.26,0.8690888379072889
2000,100,0.1,0.001,1.2172949002217297,1.32,0.7501696674102055
2000,100,0.1,0.001,1.2172949002217297,1.18,0.6504610401778399
2000,100,0.1,0.001,1.2172949002217297,1.32,0.769026443113248
2000,100,0.1,0.001,1.2172949002217297,1.32,0.8182164384242341
2000,100,0.1,0.001,1.2172949002217297,1.24,0.7134271283159341
2000,100,0.1,0.001,1.2172949002217297,0.96,0.8334690363108536
2000,100,0.1,0.001,1.2172949002217297,1.2,0.833921898003274
2000,100,0.1,0.001,1.2172949002217297,1.26,0.8508797723009135
2000,100,0.1,0.001,1.2172949002217297,1.08,0.8640058037368554
2000,100,0.1,0.001,1.2172949002217297,1.46,0.7634297397530475
2000,100,0.1,0.001,1.2172949002217297,1.12,0.8333320139846405
2000,100,0.1,0.001,1.2172949002217297,1.24,0.8010529105025741
2000,100,0.1,0.001,1.2172949002217297,1.16,0.8038550855886796
2000,100,0.1,0.001,1.2172949002217297,1.18,0.8281000476329619
2000,100,0.1,0.001,1.2172949002217297,1.24,0.9092388391541637
2000,100,0.1,0.001,1.2172949002217297,1.06,0.9008409273436286
2000,100,0.1,0.001,1.2172949002217297,1.18,0.8593170625150357
2000,100,0.1,0.001,1.2172949002217297,1.34,0.6021336046561716
2000,100,0.1,0.001,1.2172949002217297,1.12,0.7787813228394994
2000,100,0.1,0.001,1.2172949002217297,1.22,0.787517474812856
2000,100,0.1,0.001,1.2172949002217297,1.28,0.7582185953363718
2000,100,0.1,0.001,1.2172949002217297,0.96,0.9294100991347124
2000,100,0.1,0.001,1.2172949002217297,1.4,0.6870210882346767
2000,100,0.1,0.001,1.2172949002217297,1.58,0.8100013677544884
2000,100,0.1,0.001,1.2172949002217297,1.36,0.8433392520548446
2000,100,0.1,0.001,1.2172949002217297,1.1,0.8722441191089864
2000,100,0.1,0.001,1.2172949002217297,1.3,0.8434083059503019
2000,100,0.1,0.001,1.2172949002217297,1.18,0.8111013680958699
2000,100,0.1,0.001,1.2172949002217297,1.12,0.807227457855082
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7151906802653929
2000,100,0.1,0.001,1.2172949002217297,1.22,0.7672087982875236
2000,100,0.1,0.001,1.2172949002217297,1.2,0.879121845978046
2000,100,0.1,0.001,1.2172949002217297,1.3,0.5853360516978225
2000,100,0.1,0.001,1.2172949002217297,1.2,0.8114237535519175
2000,100,0.1,0.001,1.2172949002217297,1.28,0.8041612686364471
2000,100,0.1,0.001,1.2172949002217297,1.14,0.7886021187643973
2000,100,0.1,0.001,1.2172949002217297,1.38,0.8402460032378195
2000,100,0.1,0.001,1.2172949002217297,1.36,0.7895003813987157
2000,100,0.1,0.001,1.2172949002217297,1.18,0.829726401380162
2000,100,0.1,0.001,1.2172949002217297,1.06,0.856094953782946
